timestamp,api_source,run_number,hardware_platform,hardware_model,cloud_platform,chaos_strategy,chaos_level,drift_type,original_field,mutated_field,metadata
2026-05-20T17:47:36.553002Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,bmetadata,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:37.521248Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pruice"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:38.637795Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pricke"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:40.050033Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,valu,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:40.314424Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""zprice"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:40.442806Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonwical,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:40.579410Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""cprice"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:44.084787Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonicval,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:44.663147Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:44.664075Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pice"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:44.797971Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,caonical,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:45.956302Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:46.097641Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""rpice"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:46.657258Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canoical,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:47.382940Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:47.821864Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 166.0189104575954, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:48.248251Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 196.38514732916144, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:48.527714Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 164.60173965043197, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:49.602006Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,mvetadata,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:49.761264Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""sprice"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:50.440268Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""prnice"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:51.770712Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pric"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:52.202802Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:52.736104Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""prihce"", ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:53.788311Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 198.28044808999283, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:53.951605Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,metaadta,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:54.217512Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonincal,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 14.69502666698827}"
2026-05-20T17:47:54.218585Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pice"", ""total_runtime_sec"": 14.69502666698827}"
