timestamp,packet_idx,source,driver_number,chaos_method,chaos_sub_type,reconciler,accuracy,latency_ms,mapped_fields,unmapped_fields
2026-07-16T20:52:48.198612,765,openf1,1,json_manip,scalar_to_array,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198648,768,openf1,1,json_manip,array_to_scalar,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198663,769,openf1,1,json_manip,variable_drop,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198679,778,openf1,1,json_manip,field_join,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198691,809,openf1,1,json_manip,variable_drop,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198725,811,openf1,1,json_manip,field_merge_value,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198738,812,openf1,1,json_manip,default_value_inject,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198755,845,openf1,1,json_manip,array_expansion,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198768,849,openf1,1,json_manip,field_merge_value,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198802,879,openf1,1,json_manip,field_merge_value,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198815,888,openf1,1,json_manip,field_split,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198827,890,openf1,1,json_manip,array_expansion,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198842,897,openf1,1,json_manip,array_expansion,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198879,903,openf1,1,json_manip,array_to_scalar,bert,0.0,0.005,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198892,906,openf1,1,json_manip,default_value_inject,bert,0.0,0.005,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198906,913,openf1,1,json_manip,field_merge_value,bert,0.0,0.005,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198919,914,openf1,1,json_manip,field_join,bert,0.0,0.005,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198954,922,openf1,1,json_manip,duplicate_field_inject,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198967,944,openf1,1,json_manip,array_expansion,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198981,946,openf1,1,json_manip,field_join,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.198993,953,openf1,1,json_manip,field_merge_value,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199030,966,openf1,1,json_manip,array_expansion,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199043,993,openf1,1,json_manip,array_to_scalar,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199059,1019,openf1,1,json_manip,field_join,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199075,1026,openf1,1,json_manip,field_merge_value,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199108,1027,openf1,1,json_manip,default_value_inject,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199121,1037,openf1,1,json_manip,array_to_scalar,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199133,1047,openf1,1,json_manip,field_join,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199146,1051,openf1,1,json_manip,array_to_scalar,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199177,1055,openf1,1,json_manip,array_to_scalar,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199192,1059,openf1,1,json_manip,default_value_inject,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199205,1067,openf1,1,json_manip,array_to_scalar,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199225,1078,openf1,1,json_manip,field_join,bert,0.0,0.003,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199263,1113,openf1,1,json_manip,field_join,bert,0.0,0.005,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199278,1119,openf1,1,json_manip,array_to_scalar,bert,0.0,0.005,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199290,1128,openf1,1,json_manip,field_merge_value,bert,0.0,0.005,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199302,1136,openf1,1,json_manip,outlier_injection,bert,0.0,0.005,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199336,1142,openf1,1,json_manip,field_merge_value,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199353,1153,openf1,1,json_manip,outlier_injection,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199368,1163,openf1,1,json_manip,default_value_inject,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199397,1170,openf1,1,json_manip,array_to_scalar,bert,0.0,0.004,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
2026-07-16T20:52:48.199446,1208,openf1,1,json_manip,array_expansion,bert,0.0,0.006,[],"['date', 'driver_number', 'rpm', 'speed', 'gear', 'throttle', 'brake', 'drs', 'n_gear', 'session_key']"
