_label,actual_device,api_name,averages_bert_latency,averages_gemma_confidence,averages_gemma_latency,averages_levenshtein_latency,averages_regex_latency,chaos_level,chaos_metadata_drift_type,chaos_metadata_level,chaos_metadata_mutated_len,chaos_metadata_original_len,chaos_metadata_strategy,chaos_metadata_temperature,chaos_strategy,concurrency,detection_rate,device_cloud,device_device,device_hardware,drift_detected,drift_type_count,drift_types_extra_keys,drift_types_merged_fields,drift_types_missing_keys,drift_types_nested_corruption,drift_types_renamed_keys,drift_types_split_fields,drift_types_type_mismatch,drift_types_value_contradiction,elapsed_seconds,fallback_used,frequency_profile,p95_latency_ms,packet_count,packet_profile,packet_size,policy_baseline_min_runs_per_config,policy_cross_platform_parity_required,policy_device,policy_policy_tag,policy_reproducibility,policy_stable_window_excludes_run_1,policy_standard_runs_per_config,policy_tag,reconciled_ok,reconciliation_winner,recovery_score,repair_rate,resilience_P,resilience_P2,run_number,target_hz,throughput_bytes_per_sec,throughput_pps,timing_us,total_runtime_sec
FULL,x86_64,finnhub,0,1.0,0,0,0,medium,missing_keys,medium,132,154,gemma,0.7212153270653942,gemma,1,1.0,vast.ai,CUDA,x86_64,True,1,0,0,1,0,0,0,0,0,0.083674,False,1mhz,83.674,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9591502228789874,1.0,0.46573651492500995,0.5577178566495459,2,1000000,44980208,11.95114372445443,83674,0.083674
FULL,x86_64,finnhub,0,1.0,0,0,0,high,missing_keys,high,132,154,json,0.6441769140843829,json,1,1.0,vast.ai,CUDA,x86_64,True,1,0,0,1,0,0,0,0,0,0.020303,False,1mhz,20.303,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9591502228789874,1.0,0.5403548931203476,0.6136830391458414,2,1000000,120000000000,49.253804856425155,20303,0.020303
FULL,x86_64,finnhub,0,1.0,0,0,0,low,value_contradiction,low,154,154,json,0.1973617505433155,json,1,0.0,vast.ai,CUDA,x86_64,False,0,0,0,0,0,0,0,0,0,0.02122,False,1mhz,21.22,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,1.0,0.0,0.2942672007540057,0.32070216776625826,2,1000000,115384615384,47.1253534401508,21220,0.02122
FULL,x86_64,finnhub,0,1.0,0,0,0,medium,split_fields,medium,186,154,json,0.3621576659868654,json,1,1.0,vast.ai,CUDA,x86_64,True,2,0,0,1,0,0,1,0,0,0.021348,False,1mhz,21.348,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9726810653924818,1.0,0.5382381992130288,0.6134485125538539,2,1000000,93750000000,46.842795578040096,21348,0.021348
FULL,x86_64,finnhub,0,1.0,0,0,0,high,type_mismatch,high,63,154,schema,0.48438548059295916,schema,1,1.0,vast.ai,CUDA,x86_64,True,1,0,0,0,1,0,0,0,0,0.021223,False,1mhz,21.223,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9479369786252037,1.0,0.5338412712374565,0.6076764182415622,2,1000000,125000000000,47.118691985110495,21223,0.021223
FULL,x86_64,finnhub,0,1.0,0,0,0,low,merged_fields,low,154,154,schema,0.6031449909162047,schema,1,0.0,vast.ai,CUDA,x86_64,False,0,0,0,0,0,0,0,0,0,0.022296,False,1mhz,22.296,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,1.0,0.0,0.2897178866164335,0.3172900968783638,2,1000000,120000000000,44.85109436670255,22296,0.022296
FULL,x86_64,finnhub,0,1.0,0,0,0,medium,extra_keys,medium,178,154,schema,0.5103059825764075,schema,1,1.0,vast.ai,CUDA,x86_64,True,1,1,0,0,0,0,0,0,0,0.022746,False,1mhz,22.746,1,long,3000000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.996023569440627,1.0,0.5371476489096677,0.6149647422678328,2,1000000,93750000000,43.963773850347316,22746,0.022746
FULL,x86_64,finnhub,0,1.0,0,0,0,high,merged_fields,high,150,154,gemma,0.21782344884665417,gemma,1,1.0,vast.ai,CUDA,x86_64,True,1,0,1,0,0,0,0,0,0,0.077602,False,1000hz,77.602,1,short,30000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9906678595581133,1.0,0.4784162965836672,0.5708622433617326,2,1000,432650,12.88626581789129,77602,0.077602
FULL,x86_64,finnhub,0,1.0,0,0,0,low,missing_keys,low,132,154,gemma,0.5566039865326974,gemma,1,1.0,vast.ai,CUDA,x86_64,True,1,0,0,1,0,0,0,0,0,0.088331,False,1000hz,88.331,1,short,30000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9591502228789874,1.0,0.4684345209204557,0.5601654524943787,2,1000,394451,11.321053763684322,88331,0.088331
FULL,x86_64,finnhub,0,1.0,0,0,0,medium,renamed_keys,medium,168,154,gemma,0.1721264362061829,gemma,1,1.0,vast.ai,CUDA,x86_64,True,2,1,0,1,0,0,0,0,0,0.063754,False,1000hz,63.754,1,short,30000,5,True,"{'device': 'cuda', 'model': 'x86_64', 'cloud': 'vast.ai'}",tkde_policy_v1,"{'git_commit': '772da1dd8afef7db4fd43be6ab1317194ceefb17', 'python_version': '3.12.13', 'platform': 'Linux-5.15.0-174-generic-x86_64-with-glibc2.39', 'machine': 'x86_64', 'processor': 'x86_64', 'seed_env': {'PYTHONHASHSEED': '', 'SEMANTIC_SEED': ''}}",True,5,tkde_policy_v1,True,canonical,0.9738692642563022,1.0,0.4816342851378621,0.5717008386665788,2,1000,535074,15.685290334724094,63754,0.063754
