method,source,chaos_method,n,mapping_accuracy,exact_record_rate,mean_service_ms,p95_end_to_end_ms
levenshtein,openf1,qwen,243,0.7876543209876543,0.32098765432098764,5.632064898111712,1337.6440164
levenshtein,openf1,schema_alter,276,0.8097826086956522,0.44565217391304346,5.319983134138586,1355.5703429999999
levenshtein,openweather,json_manip,210,0.8678571428571429,0.6,5.356145811482813,5275.8644028
levenshtein,openweather,qwen,258,0.7093023255813954,0.46511627906976744,5.41023179787018,5294.443006249997
levenshtein,openweather,schema_alter,282,0.4627659574468085,0.30851063829787234,5.438300040854467,5275.647018549999
levenshtein,smartcity_transit,json_manip,276,0.967391304347826,0.5217391304347826,5.463488309862691,12282.23490925
levenshtein,smartcity_transit,qwen,231,0.9279220779220779,0.3116883116883117,5.449222717344254,12282.644367500001
levenshtein,smartcity_transit,schema_alter,243,0.8790123456790123,0.16049382716049382,5.339896526265373,12282.3670386
levenshtein,spacex,json_manip,255,0.8823529411764706,0.6352941176470588,5.101010995872924,3890.2139812000005
levenshtein,spacex,qwen,237,0.8006329113924051,0.5949367088607594,5.056658198703907,3913.8433443999984
levenshtein,spacex,schema_alter,258,0.5116279069767442,0.3488372093023256,4.971708951485999,3908.0754910499973
minilm,aviation_opensky,json_manip,243,0.6728395061728395,0.49382716049382713,0.24331965341950446,823.0196981
minilm,aviation_opensky,qwen,270,0.6444444444444445,0.5444444444444444,0.24582874301160124,823.05087835
minilm,aviation_opensky,schema_alter,237,0.6455696202531646,0.6455696202531646,0.2457843727884699,822.8890984
minilm,clinical,json_manip,258,0.8953488372093024,0.6046511627906976,0.2691246310576342,658.3499800499999
minilm,clinical,qwen,231,0.877922077922078,0.5714285714285714,0.25311595268292686,658.497105
minilm,clinical,schema_alter,261,0.8850574712643678,0.7126436781609196,0.26441956009014606,658.407213
minilm,finnhub,json_manip,246,0.8841463414634146,0.6341463414634146,0.2427111306906079,455.928284
minilm,finnhub,qwen,297,0.8712121212121212,0.696969696969697,0.23962619748112937,455.96353380000005
minilm,finnhub,schema_alter,207,0.8478260869565217,0.5942028985507246,0.24897252467860595,451.33399330000003
minilm,football_uefa,json_manip,237,0.952288218111003,0.5316455696202531,0.27514347547078216,851.9640866
minilm,football_uefa,qwen,228,0.9402834008097166,0.4473684210526316,0.27173435255098655,851.9894499
minilm,football_uefa,schema_alter,285,0.9417004048582995,0.5263157894736842,0.2685084412914281,852.0121674
minilm,hockey_nhl,json_manip,255,0.9819004524886877,0.6941176470588235,0.33062636680035523,754.6505086999998
minilm,hockey_nhl,qwen,243,0.9781576448243116,0.654320987654321,0.3285581766775554,751.7790642
minilm,hockey_nhl,schema_alter,252,0.9688644688644689,0.5952380952380952,0.33116940672540446,761.1369161499999
minilm,openf1,json_manip,231,0.9467532467532467,0.6363636363636364,0.9075379958826076,383.9528555
minilm,openf1,qwen,243,0.8864197530864197,0.5925925925925926,0.7414231920458877,388.75654629999997
minilm,openf1,schema_alter,276,0.9565217391304348,0.782608695652174,0.6014903739385646,388.79282350000005
minilm,openweather,json_manip,210,0.9178571428571428,0.7428571428571429,0.24097620576225853,585.38085435
minilm,openweather,qwen,258,0.877906976744186,0.7093023255813954,0.24681843468642733,585.44719955
minilm,openweather,schema_alter,282,0.8457446808510638,0.6914893617021277,0.24576345665946916,585.37517825
minilm,smartcity_transit,json_manip,276,0.9744565217391304,0.6195652173913043,0.3012515154328655,698.03610275
minilm,smartcity_transit,qwen,231,0.9577922077922078,0.4935064935064935,0.3034730261993026,698.188771
minilm,smartcity_transit,schema_alter,243,0.9623456790123457,0.49382716049382713,0.2938721843604994,698.0975895000001
minilm,spacex,json_manip,255,0.9735294117647059,0.8941176470588236,0.2459803430735584,520.2137546
minilm,spacex,qwen,237,0.8955696202531646,0.7088607594936709,0.23929232677842585,520.2575661999999
minilm,spacex,schema_alter,258,0.8372093023255814,0.6744186046511628,0.2360281739506957,520.2486728
qwen_1_5b,aviation_opensky,json_manip,243,0.1419753086419753,0.0,47.20681685989191,265851.5877577
qwen_1_5b,aviation_opensky,qwen,270,0.08333333333333333,0.0,63.07662715153034,265851.47803025
qwen_1_5b,aviation_opensky,schema_alter,237,0.0,0.0,62.55232747404071,265967.0823756
qwen_1_5b,clinical,json_manip,258,0.07209302325581396,0.0,106.95411043459363,104759.28197415
qwen_1_5b,clinical,qwen,231,0.03896103896103896,0.0,108.26952843681816,104759.3236305
qwen_1_5b,clinical,schema_alter,261,0.0,0.0,110.50284944879107,104759.327228
qwen_1_5b,finnhub,json_manip,246,0.09146341463414634,0.0,49.26013377014174,52249.15649175
qwen_1_5b,finnhub,qwen,297,0.025252525252525252,0.0,51.556418866554004,53220.434647400005
qwen_1_5b,finnhub,schema_alter,207,0.0,0.0,50.90218493310605,53220.3223541
qwen_1_5b,football_uefa,json_manip,237,0.006815968841285297,0.0,65.99124418454672,281179.30960479996
qwen_1_5b,football_uefa,qwen,228,0.003036437246963563,0.0,59.24088628596613,280772.91350135003
qwen_1_5b,football_uefa,schema_alter,285,0.0,0.0,63.742457020757726,280772.93833619996
qwen_1_5b,hockey_nhl,json_manip,255,0.010407239819004526,0.0,592.9373640985882,259756.3780828
qwen_1_5b,hockey_nhl,qwen,243,0.005698005698005698,0.0,585.4653356261791,245146.4026701
qwen_1_5b,hockey_nhl,schema_alter,252,0.0,0.0,589.7288748808243,245146.38814015
qwen_1_5b,openf1,json_manip,231,0.08961038961038961,0.0,159.06385026070092,40823.111422
qwen_1_5b,openf1,qwen,243,0.13580246913580246,0.0,166.4878804481501,40788.314645
qwen_1_5b,openf1,schema_alter,276,0.14891304347826087,0.0,157.63681342597798,40797.02409475
qwen_1_5b,openweather,json_manip,210,0.075,0.0,49.10717684531003,76863.6117439
qwen_1_5b,openweather,qwen,258,0.0436046511627907,0.0,49.81370101829259,77120.943912
qwen_1_5b,openweather,schema_alter,282,0.0,0.0,49.717266569097184,76668.0138229
qwen_1_5b,smartcity_transit,json_manip,276,0.011413043478260871,0.0,453.2239869671384,393948.3956125
qwen_1_5b,smartcity_transit,qwen,231,0.005194805194805196,0.0,454.5510930991889,394132.25062199996
qwen_1_5b,smartcity_transit,schema_alter,243,0.0,0.0,441.5665918227775,393948.25437820004
qwen_1_5b,spacex,json_manip,255,0.061764705882352944,0.0,48.17649369679908,64590.1364235
qwen_1_5b,spacex,qwen,237,0.03481012658227848,0.0,47.129994840513504,64645.5630048
qwen_1_5b,spacex,schema_alter,258,0.0,0.0,46.487928509487865,64645.5681149
regex,aviation_opensky,json_manip,243,0.8518518518518519,0.7037037037037037,0.013930020755009636,131.7732828
regex,aviation_opensky,qwen,270,0.8166666666666667,0.7444444444444445,0.015399571568046633,131.93728715
regex,aviation_opensky,schema_alter,237,0.6455696202531646,0.6455696202531646,0.015956692502272614,131.9451106
regex,clinical,json_manip,258,0.9395348837209303,0.6976744186046512,0.022647682770751933,107.3749999
regex,clinical,qwen,231,0.8311688311688312,0.5454545454545454,0.022759025479977015,106.8196495
